"State","Year","Month","Period","Indicator","Data Value","Percent Complete","Percent Pending Investigation","State Name","Footnote","Footnote Symbol","Predicted Value"
"OK","2015","April","12 month-ending","Psychostimulants with abuse potential (T43.6)","168","100","0.018418145","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","168"
"OK","2015","May","12 month-ending","Psychostimulants with abuse potential (T43.6)","170","100","0.018427357","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","170"
"OK","2015","June","12 month-ending","Psychostimulants with abuse potential (T43.6)","182","100","0.023597892","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","182"
"OK","2015","July","12 month-ending","Psychostimulants with abuse potential (T43.6)","180","100","0.020946247","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","180"
"OK","2015","August","12 month-ending","Psychostimulants with abuse potential (T43.6)","181","100","0.015670297","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","181"
"OK","2015","September","12 month-ending","Psychostimulants with abuse potential (T43.6)","193","100","0.018304003","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","193"
"OK","2015","October","12 month-ending","Psychostimulants with abuse potential (T43.6)","198","100","0.01829587","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","198"
"OK","2015","November","12 month-ending","Psychostimulants with abuse potential (T43.6)","203","100","0.020899734","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","203"
"OK","2015","December","12 month-ending","Psychostimulants with abuse potential (T43.6)","199","100","0.018266747","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","199"
"OK","2016","January","12 month-ending","Psychostimulants with abuse potential (T43.6)","197","100","0.018407005","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","197"
"OK","2016","February","12 month-ending","Psychostimulants with abuse potential (T43.6)","197","100","0.01845213","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","197"
"OK","2016","March","12 month-ending","Psychostimulants with abuse potential (T43.6)","201","100","0.021157305","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","201"
"OK","2016","April","12 month-ending","Psychostimulants with abuse potential (T43.6)","205","100","0.023781841","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","205"
"OK","2016","May","12 month-ending","Psychostimulants with abuse potential (T43.6)","215","100","0.02631025","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","215"
